DATE,MCAP
1.62778E+12,1.70063E+12
1.62786E+12,1.6565E+12
1.62795E+12,1.65949E+12
1.62804E+12,1.61684E+12
1.62812E+12,1.69327E+12
1.62821E+12,1.73597E+12
1.62829E+12,1.79534E+12
1.62838E+12,1.8941E+12
1.62847E+12,1.83158E+12
1.62855E+12,1.92813E+12
1.62864E+12,1.93558E+12
1.62873E+12,1.96783E+12
1.62881E+12,1.92027E+12
1.6289E+12,2.06958E+12
1.62899E+12,2.06701E+12
1.62907E+12,2.08292E+12
1.62916E+12,2.04088E+12
1.62924E+12,1.96334E+12
1.62933E+12,1.99175E+12
1.62942E+12,2.08724E+12
1.6295E+12,2.17117E+12
1.62959E+12,2.15499E+12
1.62968E+12,2.17375E+12
1.62976E+12,2.21807E+12
1.62985E+12,2.12811E+12
1.62994E+12,2.17344E+12
1.63002E+12,2.09043E+12
1.63011E+12,2.1902E+12
1.6302E+12,2.18223E+12
1.63028E+12,2.17606E+12
1.63037E+12,2.12238E+12
1.63045E+12,2.17786E+12
1.63054E+12,2.28422E+12
1.63063E+12,2.30527E+12
1.63071E+12,2.3568E+12
1.6308E+12,2.36012E+12
1.63089E+12,2.4306E+12
1.63097E+12,2.46745E+12
1.63106E+12,2.17802E+12
1.63115E+12,2.18329E+12
1.63123E+12,2.20232E+12
1.63132E+12,2.11431E+12
1.6314E+12,2.14672E+12
1.63149E+12,2.21346E+12
1.63158E+12,2.13143E+12
1.63166E+12,2.21473E+12
1.63175E+12,2.27691E+12
1.63184E+12,2.25774E+12
1.63192E+12,2.20588E+12
1.63201E+12,2.24366E+12
1.6321E+12,2.19419E+12
1.63218E+12,1.96332E+12
1.63227E+12,1.8511E+12
1.63236E+12,2.03873E+12
1.63244E+12,2.10111E+12
1.63253E+12,2.00357E+12
1.63261E+12,1.98667E+12
1.6327E+12,2.00242E+12
1.63279E+12,1.95665E+12
1.63287E+12,1.89174E+12
1.63296E+12,1.92351E+12
1.63305E+12,2.00796E+12
1.63313E+12,2.18849E+12
1.63322E+12,2.20596E+12
1.63331E+12,2.22923E+12
1.63339E+12,2.24022E+12
1.63348E+12,2.31937E+12
1.63356E+12,2.39753E+12
1.63365E+12,2.374E+12
1.63374E+12,2.37379E+12
1.63382E+12,2.41652E+12
1.63391E+12,2.35542E+12
1.634E+12,2.4269E+12
1.63408E+12,2.40103E+12
1.63417E+12,2.46664E+12
1.63426E+12,2.49338E+12
1.63434E+12,2.5958E+12
1.63443E+12,2.5861E+12
1.63452E+12,2.587E+12
1.6346E+12,2.57802E+12
1.63469E+12,2.64548E+12
1.63477E+12,2.7609E+12
1.63486E+12,2.65666E+12
1.63495E+12,2.63928E+12
1.63503E+12,2.68627E+12
1.63512E+12,2.65897E+12
1.63521E+12,2.74041E+12
1.63529E+12,2.69185E+12
1.63538E+12,2.57358E+12
1.63547E+12,2.70263E+12
1.63555E+12,2.78548E+12
1.63564E+12,2.74848E+12
1.63572E+12,2.74759E+12
1.63581E+12,2.76795E+12
1.6359E+12,2.86896E+12
1.63598E+12,2.88673E+12
1.63607E+12,2.84104E+12
1.63616E+12,2.84338E+12
1.63624E+12,2.86695E+12
1.63633E+12,2.9394E+12
1.63642E+12,3.06911E+12
1.6365E+12,3.048E+12
1.63659E+12,2.94494E+12
1.63668E+12,2.9864E+12
1.63676E+12,2.95313E+12
1.63685E+12,2.97416E+12
1.63693E+12,3.00213E+12
1.63702E+12,2.93181E+12
1.63711E+12,2.75537E+12
1.63719E+12,2.77271E+12
1.63728E+12,2.59619E+12
1.63737E+12,2.73367E+12
1.63745E+12,2.80471E+12
1.63754E+12,2.78214E+12
1.63763E+12,2.65791E+12
1.63771E+12,2.74553E+12
1.6378E+12,2.70449E+12
1.63788E+12,2.8027E+12
1.63797E+12,2.56455E+12
1.63806E+12,2.59959E+12
1.63814E+12,2.70008E+12
1.63823E+12,2.75312E+12
1.63832E+12,2.76406E+12
1.6384E+12,2.76927E+12
1.63849E+12,2.7402E+12
1.63858E+12,2.60785E+12
1.63866E+12,2.42733E+12
1.63875E+12,2.41032E+12
1.63884E+12,2.47981E+12
1.63892E+12,2.47987E+12
1.63901E+12,2.5148E+12
1.63909E+12,2.37517E+12
1.63918E+12,2.30442E+12
1.63927E+12,2.38716E+12
1.63935E+12,2.42152E+12
1.63944E+12,2.23946E+12
1.63953E+12,2.30873E+12
1.63961E+12,2.37109E+12
1.6397E+12,2.32823E+12
1.63979E+12,2.28012E+12
1.63987E+12,2.32528E+12
1.63996E+12,2.31169E+12
1.64004E+12,2.32064E+12
1.64013E+12,2.39559E+12
1.64022E+12,2.39935E+12
1.6403E+12,2.50656E+12
1.64039E+12,2.48579E+12
1.64048E+12,2.5021E+12
1.64056E+12,2.51876E+12
1.64065E+12,2.51809E+12
1.64074E+12,2.36853E+12
1.64082E+12,2.29958E+12
1.64091E+12,2.33405E+12
1.641E+12,2.31041E+12
1.64108E+12,2.38535E+12
1.64117E+12,2.38773E+12
1.64125E+12,2.35263E+12
1.64134E+12,2.34838E+12
1.64143E+12,2.21352E+12
1.64151E+12,2.19019E+12
1.6416E+12,2.08237E+12
1.64169E+12,2.05643E+12
1.64177E+12,2.07898E+12
1.64186E+12,2.04822E+12
1.64195E+12,2.12279E+12
1.64203E+12,2.20943E+12
1.64212E+12,2.1429E+12
1.6422E+12,2.17877E+12
1.64229E+12,2.1916E+12
1.64238E+12,2.2029E+12
1.64246E+12,2.13808E+12
1.64255E+12,2.12048E+12
1.64264E+12,2.07852E+12
1.64272E+12,2.02099E+12
1.64281E+12,1.78979E+12
1.6429E+12,1.69541E+12
1.64298E+12,1.76663E+12
1.64307E+12,1.74597E+12
1.64316E+12,1.76173E+12
1.64324E+12,1.75678E+12
1.64333E+12,1.74914E+12
1.64341E+12,1.78905E+12
1.6435E+12,1.81492E+12
1.64359E+12,1.79778E+12
1.64367E+12,1.83533E+12
1.64376E+12,1.86543E+12
1.64385E+12,1.78975E+12
1.64393E+12,1.79712E+12
1.64402E+12,1.98276E+12
1.64411E+12,1.98365E+12
1.64419E+12,2.02583E+12
1.64428E+12,2.10153E+12
1.64436E+12,2.09409E+12
1.64445E+12,2.12912E+12
1.64454E+12,2.06572E+12
1.64462E+12,1.98396E+12
1.64471E+12,1.97936E+12
1.6448E+12,1.96876E+12
1.64488E+12,1.98675E+12
1.64497E+12,2.09956E+12
1.64506E+12,2.07489E+12
1.64514E+12,1.93009E+12
1.64523E+12,1.90124E+12
1.64532E+12,1.90273E+12
1.6454E+12,1.82245E+12
1.64549E+12,1.75597E+12
1.64557E+12,1.80834E+12
1.64566E+12,1.77404E+12
1.64575E+12,1.78727E+12
1.64583E+12,1.85986E+12
1.64592E+12,1.86063E+12
1.64601E+12,1.78911E+12
1.64609E+12,1.99395E+12
1.64618E+12,2.03259E+12
1.64627E+12,2.01572E+12
1.64635E+12,1.95836E+12
1.64644E+12,1.83089E+12
1.64652E+12,1.85545E+12
1.64661E+12,1.79618E+12
1.6467E+12,1.77194E+12
1.64678E+12,1.80656E+12
1.64687E+12,1.92183E+12
1.64696E+12,1.83555E+12
1.64704E+12,1.8106E+12
1.64713E+12,1.81294E+12
1.64722E+12,1.77405E+12
1.6473E+12,1.83156E+12
1.64739E+12,1.82884E+12
1.64748E+12,1.90223E+12
1.64756E+12,1.91494E+12
1.64765E+12,1.96123E+12
1.64773E+12,1.98388E+12
1.64782E+12,1.93878E+12
1.64791E+12,1.95048E+12
1.64799E+12,2.00007E+12
1.64808E+12,2.03522E+12
1.64817E+12,2.08021E+12
1.64825E+12,2.07584E+12
1.64834E+12,2.09779E+12
1.64843E+12,2.1901E+12
1.64851E+12,2.2131E+12
1.6486E+12,2.24115E+12
1.64868E+12,2.2451E+12
1.64877E+12,2.18624E+12
1.64886E+12,2.24462E+12
1.64894E+12,2.23624E+12
1.64903E+12,2.27103E+12
1.64912E+12,2.26514E+12
1.6492E+12,2.21896E+12
1.64929E+12,2.07966E+12
1.64938E+12,2.11227E+12
1.64946E+12,2.05122E+12
1.64955E+12,2.08614E+12
1.64964E+12,2.06081E+12
1.64972E+12,1.92046E+12
1.64981E+12,1.96153E+12
1.64989E+12,2.00844E+12
1.64998E+12,1.95711E+12
1.65007E+12,1.9823E+12
1.65015E+12,1.98275E+12
1.65024E+12,1.94187E+12
1.65033E+12,1.9866E+12
1.65041E+12,2.02211E+12
1.6505E+12,2.0177E+12
1.65059E+12,1.97139E+12
1.65067E+12,1.95364E+12
1.65076E+12,1.93776E+12
1.65084E+12,1.92869E+12
1.65093E+12,1.96782E+12
1.65102E+12,1.85413E+12
1.6511E+12,1.89784E+12
1.65119E+12,1.91452E+12
1.65128E+12,1.8506E+12
1.65136E+12,1.7847E+12
1.65145E+12,1.83515E+12
1.65154E+12,1.83089E+12
1.65162E+12,1.80014E+12
1.65171E+12,1.90134E+12
1.6518E+12,1.77243E+12
1.65188E+12,1.74933E+12
1.65197E+12,1.71132E+12
1.65205E+12,1.65299E+12
1.65214E+12,1.45513E+12
1.65223E+12,1.48838E+12
1.65231E+12,1.32456E+12
1.6524E+12,1.28643E+12
1.65249E+12,1.3183E+12
1.65257E+12,1.35313E+12
1.65266E+12,1.40378E+12
1.65275E+12,1.33892E+12
1.65283E+12,1.3733E+12
1.65292E+12,1.2851E+12
1.653E+12,1.34101E+12
1.65309E+12,1.30609E+12
1.65318E+12,1.31999E+12
1.65326E+12,1.35627E+12
1.65335E+12,1.31218E+12
1.65344E+12,1.32881E+12
1.65352E+12,1.31875E+12
1.65361E+12,1.27358E+12
1.6537E+12,1.24013E+12
1.65378E+12,1.26794E+12
1.65387E+12,1.28262E+12
1.65396E+12,1.37392E+12
1.65404E+12,1.37146E+12
1.65413E+12,1.29266E+12
1.65421E+12,1.31256E+12
1.6543E+12,1.27888E+12
1.65439E+12,1.28869E+12
1.65447E+12,1.28986E+12
1.65456E+12,1.33284E+12
1.65465E+12,1.31952E+12
1.65473E+12,1.29404E+12
1.65482E+12,1.29186E+12
1.65491E+12,1.23977E+12
1.65499E+12,1.18804E+12
1.65508E+12,1.12701E+12
1.65516E+12,9.86071E+11
1.65525E+12,9.85566E+11
1.65534E+12,1.00978E+12
1.65542E+12,9.21096E+11
1.65551E+12,9.30161E+11
1.6556E+12,8.75773E+11
1.65568E+12,9.40601E+11
1.65577E+12,9.46089E+11
1.65586E+12,9.53267E+11
1.65594E+12,9.22286E+11
1.65603E+12,9.71311E+11
1.65612E+12,1.00068E+12
1.6562E+12,1.00863E+12
1.65629E+12,9.85574E+11
1.65637E+12,9.75611E+11
1.65646E+12,9.46912E+11
1.65655E+12,9.34123E+11
1.65663E+12,9.21007E+11
1.65672E+12,9.08645E+11
1.65681E+12,9.08318E+11
