Date,Close/Last,Volume,Open,High,Low
07/08/2019,55.8171,2,55.8171,55.8171,55.8171
07/05/2019,55.9582,15,55.9582,55.9582,55.9582
07/03/2019,56.0645,10,56.0645,56.0645,56.0645
07/02/2019,55.56,1037,55.38,55.56,55.38
07/01/2019,55.522,1,55.522,55.522,55.522
06/28/2019,55.1729,40,55.1729,55.1729,55.1729
06/27/2019,54.6264,N/A,54.6264,54.6264,54.6264
06/26/2019,54.6264,10,54.6264,54.6264,54.6264
06/25/2019,54.8395,45,54.8395,54.8395,54.8395
06/24/2019,55.0373,N/A,55.0373,55.0373,55.0373
06/21/2019,55.0373,N/A,55.0373,55.0373,55.0373
06/20/2019,55.0373,N/A,55.0373,55.0373,55.0373
06/19/2019,55.0373,N/A,55.0373,55.0373,55.0373
06/18/2019,55.0373,3,55.0373,55.0373,55.0373
06/17/2019,54.4873,N/A,54.4873,54.4873,54.4873
06/14/2019,54.4873,N/A,54.4873,54.4873,54.4873
06/13/2019,54.4873,24,54.4873,54.4873,54.4873
06/12/2019,54.3823,N/A,54.3823,54.3823,54.3823
06/11/2019,54.3823,92,54.3823,54.3823,54.3823
06/10/2019,54.17,N/A,54.17,54.17,54.17
06/07/2019,54.17,631,53.82,54.25,53.82
06/06/2019,53.7878,2006,53.63,53.7878,53.6176
06/05/2019,53.1113,N/A,53.1113,53.1113,53.1113
06/04/2019,53.1113,687,52.5714,53.1113,52.5714
06/03/2019,52.138,101,51.94,52.138,51.94
05/31/2019,52.1058,200,52.29,52.29,52.1058
05/30/2019,52.7287,190,52.7287,52.7287,52.7287
05/29/2019,52.694,104,52.74,52.74,52.694
05/28/2019,53.1295,1025,53.5741,53.5741,53.1295
05/24/2019,53.6233,100,53.92,53.92,53.6233
05/23/2019,54.1648,N/A,54.1648,54.1648,54.1648
05/22/2019,54.1648,N/A,54.1648,54.1648,54.1648
05/21/2019,54.1648,127,54.058,54.1648,54.058
05/20/2019,53.775,4,53.775,53.775,53.775
05/17/2019,53.7928,N/A,53.7928,53.7928,53.7928
05/16/2019,53.7928,N/A,53.7928,53.7928,53.7928
05/15/2019,53.7928,600,53.9499,53.9499,53.7928
05/14/2019,53.5683,75,53.5683,53.5683,53.5683
05/13/2019,54.1761,N/A,54.1761,54.1761,54.1761
05/10/2019,54.1761,N/A,54.1761,54.1761,54.1761
05/09/2019,54.1761,N/A,54.1761,54.1761,54.1761
05/08/2019,54.1761,2600,54.1953,54.1953,54.1113
05/07/2019,54.2236,10,54.2236,54.2236,54.2236
05/06/2019,55.0785,553,54.72,55.0785,54.72
05/03/2019,55.2648,26,55.2648,55.2648,55.2648
05/02/2019,54.7032,26,54.7032,54.7032,54.7032
05/01/2019,54.8177,91,54.8177,54.8177,54.8177
04/30/2019,55.2599,101,55.1301,55.2599,55.1301
04/29/2019,55.2986,118,55.2986,55.2986,55.2986
04/26/2019,54.8593,N/A,54.8593,54.8593,54.8593
04/25/2019,54.8593,201,54.66,54.8593,54.6056
04/24/2019,54.8241,677,54.87,54.9186,54.8241
04/23/2019,54.995,1006,54.62,54.995,54.586
04/22/2019,54.5241,11,54.5241,54.5241,54.5241
04/18/2019,54.4562,188,54.37,54.4562,54.37
04/17/2019,54.6178,N/A,54.6178,54.6178,54.6178
04/16/2019,54.6178,174,54.65,54.65,54.6178
04/15/2019,54.675,105,54.90,54.90,54.675
04/12/2019,54.6722,18,54.6722,54.6722,54.6722
04/11/2019,54.3765,926,54.2566,54.3765,54.2566
04/10/2019,54.2878,3448,54.23,54.2878,54.22
04/09/2019,54.122,104,54.25,54.25,54.122
04/08/2019,54.484,100,54.40,54.484,54.40
04/05/2019,54.2478,N/A,54.2478,54.2478,54.2478
04/04/2019,54.2478,103,54.11,54.2478,54.11
04/03/2019,53.9846,155,53.98,53.9846,53.98
04/02/2019,54.0124,100,53.95,54.0124,53.95
04/01/2019,54.0547,1166,53.8947,54.0547,53.8947
03/29/2019,53.4426,1,53.4426,53.4426,53.4426
03/28/2019,53.1496,8,53.1496,53.1496,53.1496
03/27/2019,52.9166,260,53.34,53.34,52.9166
03/26/2019,53.1399,1,53.1399,53.1399,53.1399
03/25/2019,52.7804,36,52.7804,52.7804,52.7804
03/22/2019,52.8123,1,52.8123,52.8123,52.8123
03/21/2019,53.6467,N/A,53.6467,53.6467,53.6467
03/20/2019,53.6467,N/A,53.6467,53.6467,53.6467
03/19/2019,53.6467,4,53.6467,53.6467,53.6467
03/18/2019,53.7006,1788,53.532,53.7006,53.532
03/15/2019,53.4766,300,53.5699,53.5699,53.4766
03/14/2019,53.0241,N/A,53.0241,53.0241,53.0241
03/13/2019,53.0241,N/A,53.0241,53.0241,53.0241
03/12/2019,53.0241,8,53.0241,53.0241,53.0241
03/11/2019,52.9151,95,52.9151,52.9151,52.9151
03/08/2019,52.253,94,52.253,52.253,52.253
03/07/2019,52.8097,N/A,52.8097,52.8097,52.8097
03/06/2019,52.8097,80,52.8097,52.8097,52.8097
03/05/2019,53.1361,N/A,53.1361,53.1361,53.1361
03/04/2019,53.1361,396,52.8687,53.1361,52.8687
03/01/2019,53.1849,N/A,53.1849,53.1849,53.1849
02/28/2019,53.1849,N/A,53.1849,53.1849,53.1849
02/27/2019,53.1849,N/A,53.1849,53.1849,53.1849
02/26/2019,53.1849,14,53.1849,53.1849,53.1849
02/25/2019,53.2457,146,53.2457,53.2457,53.2457
02/22/2019,53.2042,28,53.2042,53.2042,53.2042
02/21/2019,52.9453,18,52.9453,52.9453,52.9453
02/20/2019,53.1768,215,53.12,53.1768,53.12
02/19/2019,53.1009,1504,52.83,53.171,52.83
02/15/2019,52.9046,550,52.815,52.9046,52.815
02/14/2019,52.3973,1815,52.45,52.54,52.3973
02/13/2019,52.5508,20,52.5508,52.5508,52.5508
02/12/2019,52.3874,317,51.87,52.3874,51.87
02/11/2019,51.5609,N/A,51.5609,51.5609,51.5609
02/08/2019,51.5609,1402,51.38,51.5609,51.37
02/07/2019,51.6259,77,51.6259,51.6259,51.6259
02/06/2019,52.0913,2000,52.04,52.0913,52.04
02/05/2019,51.8036,N/A,51.8036,51.8036,51.8036
02/04/2019,51.8036,N/A,51.8036,51.8036,51.8036
02/01/2019,51.8036,225,51.75,51.8036,51.75
01/31/2019,51.9201,1115,51.653,51.9201,51.653
01/30/2019,51.2479,100,50.938,51.2479,50.938
01/29/2019,50.6339,60,50.6339,50.6339,50.6339
01/28/2019,50.914,N/A,50.914,50.914,50.914
01/25/2019,50.914,101,51.07,51.07,50.914
01/24/2019,50.5483,101,50.5799,50.5799,50.5483
01/23/2019,50.5916,525,50.40,50.5916,50.40
01/22/2019,51.1241,N/A,51.1241,51.1241,51.1241
01/18/2019,51.1241,204,51.1359,51.1359,51.1241
01/17/2019,50.5085,2,50.5085,50.5085,50.5085
01/16/2019,50.2035,100,50.2716,50.2716,50.2035
01/15/2019,50.005,50,50.005,50.005,50.005
01/14/2019,49.7502,N/A,49.7502,49.7502,49.7502
01/11/2019,49.7502,N/A,49.7502,49.7502,49.7502
01/10/2019,49.7502,1237,49.14,49.7502,49.14
01/09/2019,49.4954,256,49.50,49.50,49.35
01/08/2019,49.4109,761,49.36,49.4109,49.01
01/07/2019,48.9762,809,48.4901,49.01,48.4901
01/04/2019,48.6066,1069,47.91,48.6066,47.91
01/03/2019,47.1421,639,47.30,47.3201,47.1421
01/02/2019,47.9267,447,47.44,47.9267,47.44
12/31/2018,47.6708,206,47.49,47.6708,47.49
12/28/2018,47.4609,701,47.7324,47.7572,47.45
12/27/2018,47.56,4554,46.75,47.56,46.17
12/26/2018,47.0768,7433,45.07,47.0768,44.986
12/24/2018,45.423,500,46.40,46.40,45.423
12/21/2018,46.5858,3404,47.01,47.19,46.5858
12/20/2018,47.2893,1070,48.006,48.006,47.2893
12/19/2018,48.2129,941,48.90,48.90,48.0118
12/18/2018,48.889,N/A,48.889,48.889,48.889
12/17/2018,48.889,1,48.889,48.889,48.889
12/14/2018,50.8395,N/A,50.8395,50.8395,50.8395
12/13/2018,50.8395,139,50.94,50.94,50.8395
12/12/2018,50.9175,303,51.36,51.36,50.9175
12/11/2018,50.6364,8,50.6364,50.6364,50.6364
12/10/2018,50.7169,216,50.41,50.7169,50.41
12/07/2018,50.65,604,51.098,51.098,50.65
12/06/2018,50.5351,614,50.8821,50.8821,50.52
12/04/2018,53.15,477,53.18,53.18,53.1481
12/03/2018,53.52,100,53.52,53.52,53.52
11/30/2018,50.78,N/A,50.78,50.78,50.78
11/29/2018,50.78,N/A,50.78,50.78,50.78
